#,utterance_id,translation,emotion_words,asl_gloss,count_asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks,count_face_eye_brows,count_face_eye_gaze,count_face_eye_aperture,count_face_nose,count_face_mouth,count_face_cheeks
1512934,60172913,The grunt itself is a deep gruntal sound almost like a pig sound in the throat.,pig,THAT;SELF-3p:i;DEEP;DCL:fanned-flat-Othroat;fs-GRUNTAL;HEAR;NOISE;ALSO;PIG;part:indef;DCL:fanned-flat-Othroat;BUOY;part:indef,13,,,,,,,,slightly right,slightly right;slightly left,,,,,,,,,further lowered;lowered;raised-furrowed,other;up/right,further squinted;blink;squint;blink;squint;further squinted;squint;blink;further lowered;squint,,,,3,2,10,0,0,0
1512934,64008821,If a hearing person were to walk by and didn't know what was happening and who was there they probably would have assumed two people were fighting because of the grunting. That kind of sound makes you wonder.,hearing;fighting;kind,THAT;HEARNOISE;HEARNOISE;IF;HEARING;IX-3p-pl-arc;KNOW-NOTHING;DEAF;TALK;THINK;VISUALIZE;FIGHT;IX-loc:i;DCL:crvd-5two people fighting;FIGHT;HEARNOISE;HEARNOISE;WOW;HEAR;KIND;NOISE;HEAR;WONDER;THAT,24,,,,topic,conditional,,,,slightly right;slightly right;slightly right,,,,,,,slightly back;slightly back,,further raised;raised;slightly raised;raised,up/left;down/left;left;down;down;down/right;down/right;down/right;down/right,blink;wider;blink;blink;wide;wide;blink;squint;slightly squinted;blink;squint;blink;wide;wide;blink;slightly wide;blink,,,,4,9,17,0,0,0
1512934,54349951,"So that comment about how deaf people laugh, well laughing can be taught.",laugh;laughing;taught,STORY;ABOUT;DEAF;PEOPLE;LAUGH;AMONG_2;fs-EVEN;TEACH;HOW;LAUGH,10,,whq,,,,,,,slightly left;right;slightly right,,rapid,,,,,left,,lowered;lowered,other,squint;further squinted;blink;squint;further squinted;squint,,,,2,1,6,0,0,0
1512934,64659589,"That kind of sound has a different meaning. What happens in situations with grants is that there can be many different cultural situations where there are uncontrollable voices, voice excess or grunts, and it's not acceptable. It really blocks your communication process.",kind;uncontrollable;excess;acceptable;communication,THAT;KIND;NOISE;HAVE;DIFFERENT;MEAN;AND;HAPPEN;SITUATION;fs-GRUNT;5wow;MANY;IX-3p-pl-arc;CULTURE;SITUATION;WHERE;fs-UN;MANAGE/CONTROL;VOICE;part:indef;VOICE;fs-EXCESS;fs-GRUNT;AMONG_2;NOT;ACCEPT;part:indef;NOT;AND;REALLY;PREVENT;POSS-2p;PROGRESS;1focus;5wow;BUOY,36,negation,,,focus;focus,,,,slightly right;slightly right,slightly right;slightly right;left;right;slightly left,,single;slight rapid head nod;slow,,slow,,,left;back/left,,further raised;raised;raised-furrowed;raised;raised-furrowed,other;other;down/right;down/right;left;left;left;left;left,squint;lowered lid;slightly squinted;wide;blink;lowered lid;slightly squinted;blink;squint;further squinted;squint;further squinted;wide;squint,,,,5,9,14,0,0,0
1512934,64607883,"Imagine if you didn't know the meaning of signs and you saw those men and heard the grunt sounds, you would probably run and call the cops because you thought the two men were fighting.",thought;fighting,VISUALIZE;IX-2p;KNOWNEG;KNOWNEG;MEAN;SIGN;VISUALIZE;WHO;LOOK:j;SEE;APPLY;HEAR;DCL:fanned-Othroat grunts;fs-GRUNT;5whoa;RUN;CALL-BY-PHONE;COP;IX-3p:j;SOMEONE;SOMEONE;ARGUE;WHO;LOOK:j;IX-3p:j;IX-loc:k,26,negation,,,,conditional,,,right;right;right;right,right;slightly right,,,,slight rapid head shake,,,left,,raised;slightly raised;raised-furrowed;raised,other;other;other;other,wide;wide;wider;blink;wide;wider;blink;wide;squint;wider;blink,,,,4,4,11,0,0,0
1512934,54316179,Other cultures have controlled laughing. They have their own acceptable range that you shouldn't go beyond. It's good to stay within the range.,laughing;acceptable;good,CULTURE;IX-loc-line;HAVE;MANAGE/CONTROL;(F)BELONG;WITH;LAUGH;FINE;LAUGH;BPCL:bent-Bgradually increasing voice;BPCL:bent-Bgoing over natural voice range;VOICE-RANGE;OH-I-SEE,13,,,,,,,,,slightly left;left;slightly left,,single,,rapid,,,left;back/left;forward/right,,lowered;further lowered;lowered;raised;raised-furrowed,down/left;watch hands;down;left;left,squint;slightly squinted;wide;slightly wide;blink;slightly squinted,,smile mouth open;lips spread & crnrs down,,5,5,6,0,2,0
1512934,53100969,If the code is adopted then the judges would have the right to remove a player from the game if they grunt.,remove;player,AND;IF;ABOVE;ALLOW;IX-3p:i;COURT;DELETE;FROM;GAME,9,,,,,conditional,,,left,slightly right,,slow;slight rapid head nod,,,,,,,raised;raised-furrowed;slightly raised;further raised,down/right;other,squint;blink;lowered lid;slightly squinted;blink,,,,4,2,5,0,0,0
1512934,53525420,Wow now suppose the grunt itself is related to excess vocalization.,related;excess,SO;5wow;IF;fs-GRUNT;SELF-3p:i;NOW;IF;(F)BELONG;WITH;VOICE;fs-EXCESS;BUOY,12,,,,,conditional;conditional,,slightly back;back;slightly back,slightly left;right,slightly left;right;left,forward,slight single head nod,,,,,back/right,,lowered;slightly lowered;lowered;further lowered;lowered,into space;other;up;other,squint;blink;blink;squint;blink;squint;squint;blink;squint;blink;further squinted;squint;slightly squinted,,,,5,4,13,0,0,0
1512934,52731827,"Each time they hit the ball, the players grunt, it happens often throughout the game.",time;hit,"ICL:Sswinging tennis raquet;VOICE;ICL:Sswinging tennis raquet;VOICE;EACH;TIME;ICL:Sswinging tennis raquet;VOICE;5so, ok;5set;FREQUENTLY;VOICE;VOICE;5set",14,,,,,,,,,slightly right;slightly left;slightly right,,rapid,,,,,forward;back/left;back/right;back,,raised-furrowed,other,slightly squinted;further squinted;squint;further squinted;closed;further lowered;lowered lid;blink,,lips pursed corners down,,1,1,8,0,1,0
1512934,54279358,"The point is that there is excessive voice and people often comment on how deaf people laugh. They's say ""you know deaf people laugh differently"" Well what does that mean? Laughing itself is natural. If there's a funny situation you laugh and enjoy laughing, ae you supposed to control it?",laugh;laugh;differently;laughing;laugh;enjoy;laughing,POINT;LESS;(B-L)BECAUSE;KNOW-THAT;POSS-3p:i;VOICE;REALLY;SURPASS;VOICE-RANGE;fs-EXCESS;VOICE-RANGE;SO;POINT;WHERE;PEOPLE;IX-3p-pl-arc;DO;STORY;DEAF;PEOPLE;POSS-3p:i;LAUGH;DIFFERENT;WHAT;WHAT;MEAN;DIFFERENT;part:indef;VISUALIZE;LAUGH;SELF-3p:i;NORMAL;FUNNY;SITUATION;LAUGH-HARD;ENJOY;LAUGH-HARD;IX-1p;MUST;MANAGE/CONTROL;MUST;part:indef;BUOY,43,,whq,yes-no question,,,,,slightly right;slightly right;right;right,slightly left;slightly right;right;right;slightly left;further left;slightly right;slightly right,,rapid,,slow;slow,,,forward/left;right;slightly right;back;back;back,,raised-furrowed;raised-furrowed;raised-furrowed;further raised;raised-furrowed,left;into space;left;left;other;other;left;other;into space;into space;up;left,blink;slightly squinted;further squinted;blink;blink;blink;blink;blink;further lowered;blink;squint;slightly squinted;further squinted;squint;blink;squint;blink;slightly squinted;blink;slightly squinted;squint;squint;blink;wider;blink;wide;blink;squint,,smile mouth open;lips pursed: oo-tight,,5,12,28,0,2,0
1512934,60265153,People who grunt tend to be people who work in heavy lifting environments that don't require high working skills. The grunt sound is often associated with that kind of work and that group of people.,don;working;kind,PEOPLE;WHO;ACTION;fs-GRUNT;WORK;GROUP/TOGETHER;PEOPLE;WHO;WORK;HEAVY;ICL:Sheavy lifting;DCL:Sheavy lifting;NOT;HIGH;SKILL;PLACE;SO;THAT;NOISE;OFTEN;APPLY;TO/UNTIL;THAT;GROUP/TOGETHER,24,negation,,,,,,,,right;slightly left;slightly right;slightly right,,,,slight rapid head shake,,,,,raised-furrowed,up/right;up/right;down/right;other,squint;squint;lowered lid;squint;squint;lowered lid;squint;lowered lid;lowered lid;slightly squinted;squint,,,,1,4,11,0,0,0
1512934,60523983,"Except in some situations, like at the gym where there are people working out, and it's expected that when people are lifting heavy weights, for example, that grunts are reasonaly acceptable there.",working;expected;acceptable,SPECIAL/EXCEPT;FOR;IX-3p:i;SITUATION;part:indef;IN;GYM;WORK-OUT;(5)of course;REGULAR;HOPE;WHY;HEAVY;POUND/WEIGH;DCL:Sheavy lifting;WORK-OUT;VOICE_2;fs-GRUNT;REGULAR;5not a big deal;OK;BUOY,22,,,,,,,,slightly right;slightly left,slightly right;slightly left;slightly right;slightly left;slightly left;left;slightly left;left;slightly right,,slow;slow,,,,,,,raised-furrowed,into space;down/right;other;down/right;down,further lowered;squint;squint;lowered lid;squint;lowered lid;squint;closed;further lowered;further squinted,,,,1,5,10,0,0,0
1512934,53819100,"Once the news got a hold of the scream speech, his career and the possiblility of him becoming president went downhill. It was over from that one scream situation.",scream;speech;career;president;scream,fs-NEWS;PCL:crvd-5people shocked/stare;NAME;HAVE;fs-A;SCREAM;LECTURE;part:indef;REALLY;FINISH-shake;POSS-3p:i;fs-CAREER;CAN;GOAL;BECOME;PRESIDENT;DOWNHILL;part:indef;FINISH;END;TO/UNTIL;ONE;SITUATION;BPCL:1going over natural voice range;FINISH;part:indef,26,,,,,,,,right,right,,,,rapid;slight rapid head shake;slight rapid head shake;slight rapid head shake;slow,,,,,slightly raised;raised,other;into space;up/left,wider;blink;blink;wider;further lowered;lowered lid,,,,2,3,6,0,0,0
1512934,53748459,He placed third in the election but was willing to give his speech that he prepared to win the Caucus. So as he was presenting his voice was building up and he started screaming.,speech;prepared;building;screaming,THIRD-PLACE_2;VOTE;THIRD-PLACE_2;5out of my control;5forget it;POSS-3p:i;fs-SPEECH;TO/UNTIL;LECTURE;ADMIT;GET;fs-CAUCUS;LECTURE;IX-3p:i;LECTURE;IX-3p:j;TALK-OVER;GESTURE;TALK;VOICE;DCL:fanned-flat-Obecoming upset;START;SCREAM;SCREAM,24,,,,,,,,,slightly left;slightly right;right;slightly right,,single;single,,,slow,,,,slightly lowered;raised-furrowed;lowered;further lowered;lowered,down;down;down/left;down/left;up/left;left;into space,blink;blink;further lowered;squint;further lowered;squint;slightly squinted;squint;further squinted;squint,,,,5,7,10,0,0,0
1512934,60616430,You have to imagine how many meanings a grunt has.,,HAVE;VISUALIZE;MEAN;part:indef;LONG-LIST,5,,,,,,,slightly back,,,,slight rapid head nod,,,,,back/left,,raised-furrowed,up;up,squint;blink;squint;slightly squinted;blink;squint;blink;squint;blink,,,,1,2,9,0,0,0
1512934,54486267,"A while back there was a teacher who had a class and taught students how to laugh.The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was conntected to vocal usage from speaking to laughter.",teacher;taught;laugh;laugh;real;laughter;laughter,LONG-AGO;TEACHAGENT;TEACHAGENT;PCL:5students sit in an arc;TEACH;IX-3p-pl-arc;STUDENT;HOW;LAUGH;NAME;BOOK;NAME;LIST;IN;LAUGH;SHOW;REALLY;CULTURE;SET-UP;part:indef;IMAGINE;IF;REGULAR;AVERAGE/RANGE;fs-RANGE;(F)BELONG;WITH;VOICE;USE_2;FROM;TALK;TO/UNTIL;LAUGH;part:indef,34,,whq,,topic;topic,,,,slightly left;slightly right;slightly left;slightly left;slightly left,slightly right;slightly right;right;slightly right;slightly right;slightly right;slightly left,,slow,,,,,,,raised;raised;raised-furrowed;slightly lowered;further raised,down/right;down;down/right;down/right;down/right;left;into space;left,slightly squinted;squint;slightly squinted;slightly squinted;blink;squint;squint;blink;squint;slightly squinted;slightly wide;blink,,,,5,8,12,0,0,0
1512934,60141054,"In the Deaf speech category, there is a range within intelligible and grunts, but what does ""grun,""  really mean within the cultural context?",speech,IN;DEAF;fs-SPEECH;CLASS_2;(1)RANGE;IX-3p:i;UNDERSTAND;fs-INTELLIGIBLE;IX-3p-pl-arc;fs-GRUNTS;fs-GRUNT;MEAN;WHAT;CULTURE;MEAN;fs-GRUNT;1focus;1focus;part:indef,19,,whq,,foc/prop-with-ref-to,,,,,slightly right;slightly right;right,,,,,,,,,raised;lowered,,squint;blink;further lowered;lowered lid;lowered lid;slightly squinted;squint;further lowered;blink;further squinted;lowered lid;further squinted,,,,2,0,12,0,0,0
1379844,37956612,In Iowa -- Greatechwaech -- the group Deaf Iowans Against Abuse made an alphabetical list.,abuse,IX-loc:k;ns-fs-IOWA;ns-fs-GREATECHWAECH;IX-3p:n;DEAF;ns-fs-IOWANS;AGAINST;fs-ABUSE;GROUP/TOGETHER;IX-3p-pl-arc;MAKE;LIST;A;B;C;IX-loc-line;IX-loc:k;ns-fs-IOWA;ns-fs-GREATECHWAECH,19,,,,,,,,,slightly right;slightly left,,rapid;slow,,,,,right,,raised-furrowed;further raised;raised-furrowed;raised,down/left,slightly squinted;squint;wide;slightly squinted,,,,4,1,4,0,0,0
1379844,38389260,the idea of realizing that Deaf people's actions are beyond the cultural conception of noises.,,IDEA;fs-OF;OH-I-SEE;REASON;POSS-3p:i;ACTION;5umm;ABOVE_3;WHAT;CULTURE;CONCEPT;fs-OF;fs-NOISE,13,,,,,,,,right;left,slightly right;slightly right;slightly right,,,,,,,,,raised-furrowed;further raised;raised-furrowed,up/right;down;left;into space;into space,squint;blink;squint;blink;squint;wide;blink;slightly squinted,,,,3,5,8,0,0,0
1379844,35217421,"I am discussing issues related to voice identities,...",related,DISCUSS;QUOTE/TOPIC_2;COOPERATE/UNITE;WITH;VOICE;part:indef;IDENTIFY;LIST-ORDER;part:indef,9,,,,,,,,,slightly right,,,,,,,,,raised-furrowed,left;left;left;left,further squinted;squint;blink,,,,1,4,3,0,0,0
1379844,36725012,"There are a lot of stories and testimonies related to warnings on how to control sounds, or warnings to inform people...",related;inform,MANY;fs-OF;STORY;AND;fs-TESTIMONIES;IX-loc:l;IX-loc:m;COOPERATE/UNITE;WITH;WARN;HOW;MANAGE/CONTROL;HEARNOISE;HEARNOISE;fs-OR;WARN;INFORM-ALL;PEOPLE,18,,,,,,,,,,,rapid;slow;rapid,,,,,,,raised-furrowed,other;other;into space;left;left;left,squint;blink;squint,,,,1,6,3,0,0,0
1379844,35967768,and how Deaf people form their voice range.,,HOW;DEAF;PEOPLE;POSS-3p:i;VOICE;fs-RANGE;VOICE-RANGE;DCL:crvd-Babove or below voice range,8,,,,,,,,,slightly right,,,,,,,,,raised-furrowed;further raised;raised-furrowed,left;left;left;left,squint;wide;squint,,,,3,4,3,0,0,0
1379844,38032430,"Under N is ""noisy,"" too. This further informs that Deaf people aren't silent, as people think. Deaf people do really make noises.",noisy,IX-3p:o;N;part:indef;fs-NOISY;SAME;THAT;1tracing sentence;IX-3p:o;MORE;INFORM;DEAF;PEOPLE;IX-3p-pl-arc;THINK;DEAF;QUIET;5wave no;IX-3p:i;REALLY;MAKE;NOISE;BUOY;BUOY,23,negation,,,,,,,,slightly left;slightly right,,slow;rapid;rapid,,rapid,,,,,further raised;raised-furrowed;further raised;raised-furrowed;further raised;raised-furrowed,left;into space;other,wide;squint;squint;further squinted,,,,6,3,4,0,0,0
1379844,37411375,"But of course they need to be informed in a polite way, so they will accept it.",polite,IDEA;UNDERSTAND;IX-loc:j;INFORM;IN;POLITE;CORRECT;NARROW-STREET;IX-3p:i;FUTURE;ACCEPT,11,,,,,,,,,left;slightly left;right;slightly left,,rapid,,,,,,,raised-furrowed,other;left;other,wider;further lowered;squint;blink,,,,1,3,4,0,0,0
1379844,36697393,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go above or below.,related;expected,DEAF;PEOPLE;POSS-3p:i;EXPERIENCE;DEAF;COOPERATE/UNITE;WITH;MANAGE/CONTROL;HEARNOISE;HEARNOISE;IN;THAT;MAJOR:j;fs-AUDIOVOCAL;WORLD;MAJOR:j;HAVE;A-LOT;fs-OF;CULTURE;SET-UP:j;THINKHOPE;THINKHOPE;LIST-ORDER;NOISE;AVERAGE/RANGE;DEAF;PEOPLE;SOMETIMES;DCL:bent-B-Labove and below the voice range;MAJOR:j,31,,,,,,,,,slightly right;right;slightly right,,,,,,,,,raised-furrowed;further raised,other;into space;left;into space;into space;left;left;left;down/right;other;other,slightly wide;wide;squint;slightly squinted;blink;wider;blink;wide;blink,,,,2,11,9,0,0,0
1379844,36283454,A different area is the control of sounds.,,HAVE;MOVING-ON-TO-NEXT-TOPIC;OTHER;(A)PLACE;QUOTE/TOPIC;MANAGE/CONTROL;fs-OF;NOISE,8,,,,,,,,,slightly right,,,,,,,,,raised-furrowed;further raised,left;other;into space,slightly squinted;wide,,,,2,3,2,0,0,0
1379844,38275141,"Basically, two different groups informed the world that Deaf people do make noises, and that the stories Deaf people share about the various noises involve...",share,BELOW_2;IX-3p:i;IX-3p:j;TWO;DIFFERENT;GROUP/TOGETHER:i;GROUP/TOGETHER:j;INFORM-ALL;WORLD;THAT;DEAF;PEOPLE;MAKE;NOISE;AND;STORY;DEAF;PEOPLE;BETWEEN/SHARE-arc;COOPERATE/UNITE;WITH;NOISE;LIST-ORDER;INCLUDE/INVOLVE;IX-3p:j,25,,,,,,,,,right;right;right;slightly right,,rapid;slow,,,,,,,raised-furrowed;further raised;raised-furrowed,into space;other;up/left,further lowered;blink;squint;slightly squinted;wide;blink;slightly squinted;squint;blink;squint,,,,3,3,10,0,0,0
1379844,38116452,Often they don't realize how much noise they are making. So they're not as quiet as they think.,don;noise;quiet,OFTEN;NOT;REASON;A-LOT;NOISE;IX-3p:j;MAKE;SO;NOT;ALSO;QUIET;ALSO;IX-3p-pl-arc;THINK,14,negation;negation,,,,,,,left,slightly right,,,,slow;slow,,,,,raised-furrowed;raised,into space;into space,slightly squinted;squint;slightly squinted,,,,2,2,3,0,0,0
1379844,38448512,How do you know which noises are a problem?  That's part of the the struggles and learning experiences of being a Deaf person in the audiovocal world.,problem;learning,HOW;KNOW;WHICH;5umm;SOME;fs-OF;STRUGGLE;LEARN;EXPERIENCE;COOPERATE/UNITE;fs-OF;fs-BEING;DEAF;IN;fs-AUDIOVOCAL;WORLD,16,,whq,,,,,,left;slightly right;slightly left,slightly left;slightly left,,,,,,,,,raised-furrowed;further raised;raised-furrowed,into space;down/right;down;down/left;into space;down,squint;squint;wide;blink,,,,3,6,4,0,0,0
1379844,37017223,"That list goes from ""A"" to ""N"".  PIcking a word, ""noise"": People should be aware that Deaf people make noise, often without realizing it.",word;noise;noise,LETTER/MAIL_2;A;IX-loc-pl-arc;DCL:crvd-5list of alphabet;N;IX-loc:j;PICK/CHOOSE;WORD;fs-NOISE;DCL:sml-C/3morpheme word;INFORM;DEAF;PEOPLE;MAKE;AGAIN;NOISE;OFTEN;IX-3p:i;NOT;REASON;THAT;BUOY;N,23,negation,,,,,,,,slightly right;slightly left;slightly left,,slow,,slow,,,,,raised-furrowed;further raised;raised-furrowed;further raised;raised-furrowed,left;into space;into space;watch hands;left;left;left,squint;wide;slightly squinted;wide;squint,,,,5,7,5,0,0,0
1379844,37381512,"It would be appreciated if they're told about the noises they make, for the future.",,IX-3p:i;NOT-MIND;ENJOY;IX-3p:j;INFORM;IX-3p:i;MAKE;NOISE;IX-loc:i;FUTURE;OH-I-SEE;IX-3p:j,12,,,,,,,,,slightly right,,slow;slow,,,,,,,further lowered;further raised,into space;into space;other;left;left,wider;further squinted;squint;wide,,,,2,5,4,0,0,0
1379844,38425538,"Sometimes there may be a place where the noise level seems fine, but then when you move to a different area, people react to the same noises as if there is something wrong, the noises are too loud.",noise;level;react;wrong,SOME;SOMETIMES;IN;PLACE;WHERE;NOISE;IX-3p:i;MAKE;SEEM;(F)NONE/NOTHING;FINE_2;SCL:crvd-Vhopping in a new group;ALSO;NOISE;SCL:crvd-Vhopping in a new group;OTHER;PLACE;WRONG;NOISE;fs-TOO;LOUD;SO;5umm;IX-loc:j;SCL:crvd-Vhopping in a new group;SCL:crvd-Vhopping in a new group,26,negation,,,,,,,left;right;right;right,slightly right;slightly left;slightly right;slightly right,,,,rapid,,,,,further raised;raised-furrowed,into space;into space;into space;left;other;other;into space,wider;squint;wider;blink;wide;blink;blink;blink;wide,,,,2,7,9,0,0,0
1379844,36860638,"so they know that Deaf people do make noises. For example, a group in Minnesota called Communication Services for the Deaf made a list called the ""ABCs of work with Deaf people.""",communication,KNOW;DEAF;PEOPLE;MAKE;NOISE;part:indef;FOR;SHOW;GROUP/TOGETHER;IN;IX-3p:k;ns-fs-MINN;COMMUNICATE;SERVICE;FOR;DEAF_2;IX-loc:i;MAKE;LIST;fs-ABC;fs-OF;WORK;WITH;DEAF;PEOPLE,25,,,,,,,,,slightly left;slightly right;slightly left;slightly right;slightly right;slightly right,,rapid;single,,,,,,,further raised;raised-furrowed;further raised;raised-furrowed,left;left;watch hands;up/left,wider;blink;wide;lowered lid,,,,4,4,4,0,0,0
1379844,38467574,I have different lists of stories and testimonies to share.,share,HAVE;LIST-ORDER_3;DIFFERENT;STORY;INFORM;fs-TESTIMONIES;FUTURE;BETWEEN/SHARE,8,,,,,,,,,slightly left;slightly left,,,,,,,,,raised-furrowed,watch hands,lowered lid;blink;further lowered;blink,,,,1,1,4,0,0,0
1379843,92256000,There are many issues related to how body control is associated with objects in the environment.,related,MANY;QUOTE/TOPIC_2;COOPERATE/UNITE;WITH;HOW;BODY;MANAGE/CONTROL;COOPERATE/UNITE;WITH;THING;IN;ENVIRONMENT,12,,whq,,,,,,,,,,,,,,,,raised-furrowed;further raised,other;down/right;down;watch hands;into space,squint;slightly squinted;blink;wide,,,,2,5,4,0,0,0
1379843,91062286,"For example, CODA children often...",,FOR;SHOW;part:indef;fs-CODA;CHILDREN;OFTEN,6,,,,,,,,slightly right;slightly left,slightly right;left,,,,,,,back,,raised,up,wide;wide;blink,,,,1,1,3,0,0,0
1379843,91189263,"The CODA child said, ""Oh no, that's normal, mom isn't angry at all.""",child;angry,LOOK:j;OH-I-SEE;NO;NORMAL;POSS-3p:j;MOTHER;NOT;ANGRY;IX-3p:i,9,negation,,,,,CODA,,left;slightly right;slightly right;left,,,,,rapid,,,,,raised-furrowed,into space;left;left,squint;blink;slightly wide,,,,1,3,3,0,0,0
1379843,92262440,How to control making noises in the different places is also challenging.,,fs-EVEN;PLACE;HOW;IX-2p;MANAGE/CONTROL;NOISE;IN;PLACE;CHALLENGE-arc;SAME,10,,whq,,focus,,,,slightly right,slightly right,,slow,,,,,,,raised-furrowed,up/left;left;left,wide;slightly squinted;squint;wide;blink,,,,1,3,5,0,0,0
1379843,90926892,So... there are various kinds of things.,,SO;VARY;KIND;fs-OF;THING,5,,,,,,,front,slightly right,,,,,,,,,,raised-furrowed;further raised,other;watch hands;watch hands,squint;wide,,,,2,3,2,0,0,0
1379843,90865964,While the paper manila envelope...,,DURING/WHILE;PAPER;fs-MANILA;IX-3p:j;DCL:1envelope;SCL:B-Lenvelope,6,,,,topic,,,,right,,,,,,,,,,raised;raised-furrowed,other,slightly wide;lowered lid,,,,2,1,2,0,0,0
1379843,89817651,"Like when a person is speaking, somebody can observe and analyze their identity,...",,SAME;VOICE;WHEN;PERSON;TALKwg;PERSON;CAN;LOOK-OVER;ANALYZE_2;POSS-3p:i;IDENTIFY,11,,,,,when,,,,slightly right;slightly right,,,,,,,back;back/right;back/right,,raised-furrowed;further raised;raised-furrowed,left;left;left,further lowered;further lowered;squint,,,,3,3,3,0,0,0
1379843,90642487,Through different experiences and warnings.,,THROUGH;DIFFERENT;EXPERIENCE;WARN,4,,,,,,,slightly back,slightly right;slightly left,,,,,,,,,,raised-furrowed,other,slightly squinted;squint,,,,1,1,2,0,0,0
1379843,90889301,"with the clip and the sticky strip to seal the envelope, it's fine to open that slowly.",sticky;strip;seal,DCL:bent-B-Lclose envelope;DCL:B-Llick envelope;STICKY;DCL:open-8sticky part of envelope;DCL:bent-B-Lclose envelope;DCL:Atear open envelope;SLOW;DCL:Atear open envelope slowly;FINE_2,9,,,,topic;focus,,,,slightly right,slightly right;slightly right,,,,,,,,,raised;raised-furrowed;raised;raised-furrowed,down/right;watch hands;down,squint;lowered lid;slightly squinted,,,,4,3,3,0,0,0
1379843,92259670,"The cultural interpretation is that these noises fit with anger, happiness, or various other things.",anger;happiness,CAUSE;IX-3p-pl-arc;CULTURE;INTERPRET;(B-L)BECAUSE;THAT;ACTION;MATCH;ANGRY;OR;MATCH;HAPPY;MATCH;VARY,14,,,,,,,,slightly left;further right;slightly right;left;slightly left,slightly right;slightly left;slightly right;slightly right;right,,,,,,,,,raised-furrowed,up/right;up/right;left,squint;lowered lid;squint;slightly wide;blink,,,,1,3,5,0,0,0
1379843,89828188,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",intelligence,KIND;CHARACTER;CLEVER;part:indef;LIST-ORDER;FROM;TALKwg;ALONE;SAME-OLD;KNOW;LOOK;PROPORTION;part:indef;BUOY;IX-3p:j,15,,,,,,,,slightly left,slightly right,,,,,,,back/right;back/right,,raised-furrowed,left;left;left;up/right;into space;into space,squint;slightly wide;closed;further lowered,,,,1,6,4,0,0,0
1379843,90633569,How do we know?,,HOW;KNOW;5umm,3,,whq,,,,,front,,,,,,,,,,,raised-furrowed,down,squint;slightly squinted,,,,1,1,2,0,0,0
1379843,90610287,How does it vary?,,HOW;VARY,2,,whq,,,,,,,,,,,rapid,,,,,slightly lowered;raised,down/right;other,further squinted;squint;blink,,,,2,2,3,0,0,0
1379843,90479985,Then explaining the two different kinds of papers. Which kind of paper is louder when you rip it?,kind,THEN;DIRECT/EXPLAIN;TWO;DIFFERENT;KIND;PAPER:i;PAPER:j;WHICH;PAPER;LOUD;DCL:flat-Orip paper;WHICH;KIND;PAPER,14,,whq;whq,,focus;focus,,,,,slightly right,,,,,,,,,raised-furrowed;raised;raised-furrowed,up/left;down/left;into space,wide;wide,,,,3,3,2,0,0,0
1379843,89978744,"The louder the noise, the more others' estimation will be lowered, this may be viewed as rowdy. The quieter the noise level, the more this will be viewed highly and considered to be polite.",noise;rowdy;noise;level;polite,MORE;LOUD;DCL:crvd-5noises in the air;MORE;A-LEVEL-BELOW;fs-ROWDY;A-LEVEL-BELOW;MORE;QUIET;MORE;POLITE;A-LEVEL-ABOVE,12,,,,focus;focus,,,,slightly left,slightly left;slightly right,,,,,,,left,,further raised;raised-furrowed,other;other;other,squint;slightly squinted;squint;blink;slightly wide,,,,2,3,5,0,0,0
1379843,90893690,"If it gets torn up fast, it's noisy.",torn;noisy,DCL:Atear open fast;FAST_3;NOISE,3,,,,,conditional,,,,,,,,rapid,,,,,raised;raised-furrowed,down,lowered lid;slightly squinted;blink,,,,2,1,3,0,0,0
1379843,90267005,"One well-known videotape by Angela Petrone Stratiy, made in 1999, called ""Deaf people have problems,"" shares some experiences about things that make noises, as a warning.",warning,ONE;GOOD;KNOW;VIDEOTAPE;MAKE;fs-BY;ns-fs-ANGELA;ns-fs-PETRONESTRATIY;MAKE;IN;NINETEEN_2NINETY-NINE;NINETEEN_2NINETY-NINE;QUOTE/TOPIC;DEAF;PEOPLE;HAVE;PROBLEM;IX-3p:i;BETWEEN/SHARE;SOME;EXPERIENCE;LIST-ORDER_2;COOPERATE/UNITE;WITH;5umm;THING;IX-3p:j;fs-OBJECTS;IX-3p-pl-line;MAKE;KNOW;NOISE;WARN,33,,,,topic;focus;focus,,,,left;slightly left;slightly left;slightly right;slightly right,slightly left;slightly right;slightly right;slightly right,,,,,,,,,raised-furrowed;raised;further raised;lowered;further raised;raised-furrowed,other;down/right;watch hands;down/right;watch hands;down,slightly squinted;slightly wide;blink;squint;wider;blink;further squinted;squint;squint;slightly squinted;wide;wider;slightly wide,,,,6,6,13,0,0,0
